,participant,condition,syllables,total_time,speaking_rate
0,102,speakingonly,1330,264.3650765392183,5.030921698928322
1,122,easy,1628,278.0025738735083,5.856060889352568
2,112,speakingonly,1527,318.3327955639357,4.796866742224519
3,120,speakingonly,1127,208.54525247441285,5.404102882362549
4,114,speakingonly,1527,298.72875491148034,5.111660578013264
5,113,easy,1381,288.2950771443451,4.790230945596597
6,116,hard,1605,271.25223863844565,5.917001857961872
7,102,hard,1308,271.36221025569415,4.820125833908568
8,112,hard,1302,276.5894261953932,4.707338302514205
9,117,easy,1844,321.2240137051061,5.740542180301785
10,104,speakingonly,1664,317.70580757574214,5.237549834852474
11,103,easy,1681,329.7865934115596,5.097235708130148
12,104,easy,1595,293.66479058975204,5.431362734350423
13,115,hard,1368,312.39649451694595,4.379050418332376
14,105,hard,1312,255.7290757033217,5.130429523477757
15,114,easy,1427,300.76878265619797,4.744508347567346
16,108,easy,1496,307.9534093027269,4.857877701004406
17,124,hard,1601,280.6437855228153,5.704740609229862
18,119,speakingonly,1878,305.95140333566775,6.138229730358825
19,121,easy,1527,280.2316108463937,5.449064063072494
20,119,hard,1580,272.2136843168966,5.804263676034187
21,125,easy,1253,270.7601861137738,4.62771140020375
22,118,easy,1315,261.16649028198515,5.035102315692093
23,116,easy,1316,223.57628606206913,5.886134094000706
24,103,speakingonly,1682,347.34556949017406,4.842439771057974
25,102,easy,1161,243.25603019609753,4.772749103338058
26,113,speakingonly,1331,276.1810011702764,4.819303262570862
27,112,easy,1329,284.4401747491798,4.672335759784693
28,117,hard,1721,305.2022355606764,5.63888399060515
29,101,speakingonly,1585,285.7271246758776,5.547250726713427
30,103,hard,1488,298.30157555014165,4.988240498749499
31,121,speakingonly,1478,282.2670939585321,5.236175351764996
32,122,hard,1330,238.41357228930772,5.578541469887817
33,115,speakingonly,1655,370.81369264514535,4.463157733454499
34,105,speakingonly,1416,287.42809450749075,4.926449526189574
35,113,hard,1218,261.2170050199364,4.662789851323197
36,117,speakingonly,2017,349.4896271637581,5.771272859708959
37,123,easy,1583,295.81629993173453,5.351294030671429
38,123,speakingonly,1613,305.4895097260905,5.280050373730528
39,108,hard,1442,302.9223126110115,4.760296419140642
40,124,easy,1869,316.5450785419753,5.904372320709331
41,119,easy,1694,292.4581267412225,5.792282193952888
42,121,hard,1484,277.6985851836665,5.343923516997756
43,125,hard,1069,245.41046053635375,4.355967539703322
44,120,easy,858,163.2000445801769,5.257351505063357
45,118,hard,1268,243.37659908969064,5.210032536993045
46,118,speakingonly,1459,275.3188875177672,5.299309513975302
47,104,hard,1461,272.35819403735275,5.36425939070381
48,116,speakingonly,1662,299.5970614235725,5.547450939948481
49,101,easy,1470,268.5240737114019,5.474369503197291
50,115,easy,1220,281.6675309929303,4.331347655511707
51,105,easy,1316,259.21906251429533,5.07678712836725
52,108,speakingonly,1549,314.28890917886804,4.928586261752028
53,114,hard,1393,297.39541206589854,4.683999629729766
